Trap Date,Genus,Specific Epithet,Gender,IDd,Count,Trap Region,Include,Comparison Group,Latitude,Longitude,Location
06/22/2010 12:00:00 AM,Ochlerotatus,flavescens,Female,,2,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
08/22/2017 12:00:00 AM,Ochlerotatus,canadensis,Female,,1,Outer Community-South1,,Outer,53.33332690,-113.53137370,POINT (-113.5313737 53.3333269)
08/01/2000 12:00:00 AM,Male,UnID,Male,UnID,257,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
07/22/2014 12:00:00 AM,Culiseta,inornata,Female,,15,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
06/16/2020 12:00:00 AM,Ochlerotatus,fitchii,Female,,2,River Valley-East,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
07/22/1997 12:00:00 AM,Culiseta,morsitans,Female,,7,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
08/10/2004 12:00:00 AM,Aedes,dorsalis,Female,,1,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
09/25/2012 12:00:00 AM,Culiseta,inornata,Female,,21,Residential-South,No,Other,53.45749000,-113.42539000,POINT (-113.42539 53.45749)
06/28/2005 12:00:00 AM,Ochlerotatus,flavescens,Female,,87,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
07/27/1993 12:00:00 AM,Ochlerotatus,implicatus,Female,,1,Rural-North West,,Peripheral,53.61722100,-113.71618200,POINT (-113.716182 53.617221)
09/03/1996 12:00:00 AM,Aedes,dorsalis,Female,,5,Extended Rural-South West,,Outer,53.42475000,-113.86097000,POINT (-113.86097 53.42475)
09/09/2014 12:00:00 AM,Anopheles,earlei,Female,,1,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
07/17/2001 12:00:00 AM,Culiseta,inornata,Female,,3,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
06/14/2016 12:00:00 AM,Aedes,vexans,Female,,10,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
09/23/2014 12:00:00 AM,Culiseta,inornata,Female,,6,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
08/13/1996 12:00:00 AM,Culiseta,inornata,Female,,7,River Valley-Central,,Core,53.52420580,-113.50048000,POINT (-113.50048000000001 53.5242058)
08/30/2016 12:00:00 AM,Culiseta,inornata,Female,,45,Outer Community-South West,,Outer,53.40827000,-113.76136000,POINT (-113.76136 53.40827)
08/09/2016 12:00:00 AM,Culiseta,inornata,Female,,58,Outer Community-North East,,Outer,53.77447010,-113.37208810,POINT (-113.3720881 53.7744701)
08/07/2007 12:00:00 AM,Male,UnID,Male,UnID,36,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
06/25/1991 12:00:00 AM,Culiseta,inornata,Female,,61,Rural-South East,,Peripheral,53.39583080,-113.39354040,POINT (-113.3935404 53.3958308)
07/08/1997 12:00:00 AM,Aedes,vexans,Female,,25,River Valley-GC1-Central,,Core,53.53718600,-113.52990800,POINT (-113.529908 53.537186000000005)
07/07/2015 12:00:00 AM,Male,UnID,Male,UnID,2,Rural-North East,,Peripheral,53.65769280,-113.33211780,POINT (-113.3321178 53.6576928)
07/09/1996 12:00:00 AM,Ochlerotatus,flavescens,Female,,1,Rural-South West,,Peripheral,53.45390000,-113.68865000,POINT (-113.68865 53.4539)
07/16/2013 12:00:00 AM,Anopheles,earlei,Female,,1,Rural-East,,Outer,53.60672180,-113.22135870,POINT (-113.22135870000001 53.6067218)
06/03/1997 12:00:00 AM,Ochlerotatus,punctor,Female,,1,River Valley-East-P1,,Core,53.58141700,-113.37456110,POINT (-113.3745611 53.58141700000001)
07/05/2005 12:00:00 AM,Ochlerotatus,euedes,Female,,1,River Valley-West,,Core,53.50406840,-113.57012630,POINT (-113.5701263 53.5040684)
06/28/2016 12:00:00 AM,Aedes,vexans,Female,,184,Rural-North West,,Peripheral,53.61923170,-113.71279840,POINT (-113.7127984 53.6192317)
